Year,Mo,Dy,Tsunami Event Validity,Tsunami Cause Code,Earthquake Magnitude,Country,Area,Region,Location Name,Latitude,Longitude,Maximum Water Height (m),Number of Runups,Tsunami Magnitude (Iida),Deaths,Death Description,Damage ($Mil),Damage Description,Houses Destroyed Description
1751.0,5.0,20.0,4.0,3.0,6.6,JAPAN,,85.0,NW. HONSHU ISLAND,37.2,138.1,0.92,1.0,1.0,2100.0,4.0,,4.0,4.0
1751.0,5.0,25.0,4.0,1.0,8.5,CHILE,,89.0,CENTRAL CHILE,-37.0,-73.0,3.5,7.0,1.8,65.0,2.0,,1.0,
1751.0,10.0,18.0,3.0,1.0,7.3,DOMINICAN REPUBLIC,,74.0,AZUA  DE COMPOSTELA,18.5,-70.7,0.92,3.0,0.6,,,,3.0,3.0
1754.0,8.0,18.0,3.0,1.0,6.5,INDONESIA,,83.0,BANDA SEA,-3.5,128.5,0.92,3.0,0.6,,,,,
1754.0,9.0,1.0,3.0,1.0,7.2,MEXICO,,88.0,S. MEXICO,16.8,-99.2,4.0,1.0,2.0,,,,3.0,3.0
1755.0,11.0,1.0,4.0,1.0,8.5,PORTUGAL,,73.0,LISBON,37.0,-10.0,18.3,124.0,3.6,50000.0,4.0,,4.0,4.0
1756.0,2.0,1.0,4.0,8.0,7.2,NORWAY,,73.0,WESTERN NORWAY,62.767,7.9,38.0,0.0,0.6,,,,2.0,1.0
1757.0,7.0,9.0,3.0,1.0,7.2,PORTUGAL,,73.0,AZORES,38.65,-28.08,0.92,5.0,0.6,,,,,
1761.0,3.0,31.0,3.0,1.0,8.5,PORTUGAL,,73.0,SW PORTUGAL,34.5,-13.0,2.4,22.0,1.3,,,,,
1762.0,4.0,2.0,4.0,1.0,7.2,BANGLADESH,,60.0,NORTHERN BAY OF BENGAL,22.0,92.0,1.83,4.0,0.8,,3.0,,,
1762.0,10.0,31.0,4.0,1.0,6.6,JAPAN,,85.0,NW. HONSHU ISLAND,38.1,138.7,0.92,1.0,1.0,,,,1.0,1.0
1763.0,1.0,29.0,3.0,1.0,7.4,JAPAN,,85.0,SANRIKU,40.8,142.0,5.0,4.0,2.0,,,,1.0,1.0
1763.0,3.0,11.0,4.0,1.0,7.8,JAPAN,,85.0,N. SANRIKU,41.0,142.5,0.92,1.0,1.0,,,,2.0,2.0
1763.0,3.0,15.0,4.0,1.0,7.1,JAPAN,,85.0,"SANRIKU, HACHIONHE",40.7,142.0,0.92,1.0,1.0,,3.0,,3.0,
1763.0,9.0,12.0,3.0,1.0,7.2,INDONESIA,,83.0,BANDA SEA,-6.0,130.0,9.0,2.0,0.6,7.0,1.0,,,
1766.0,3.0,8.0,4.0,1.0,6.9,JAPAN,,85.0,SANRIKU,40.9,140.7,0.92,3.0,-0.1,1700.0,4.0,,4.0,4.0
1767.0,4.0,24.0,3.0,1.0,7.2,MARTINIQUE (FRENCH TERRITORY),,74.0,MARTINIQUE & BARBADOS,14.4,-61.0,0.92,2.0,0.6,,,,,
1768.0,6.0,22.0,3.0,1.0,7.5,PAPUA NEW GUINEA,,82.0,"CAPE SAINT GEORGE, NEW IRELAND",-4.85,152.8,0.92,1.0,0.6,,,,,
1768.0,7.0,22.0,4.0,1.0,6.5,JAPAN,,85.0,RYUKYU ISLANDS,26.2,127.5,1.2,1.0,0.3,,,,1.0,1.0
1769.0,8.0,29.0,4.0,1.0,7.4,JAPAN,,85.0,SW. KYUSHU ISLAND,32.3,132.0,0.92,1.0,1.0,,,,,
1769.0,1.0,1.0,3.0,1.0,6.5,GREECE,,50.0,CORINTH GULF,38.4,12.2,0.92,0.0,0.6,,,,,
1770.0,6.0,3.0,4.0,3.0,7.5,HAITI,,74.0,PORT-AU-PRINCE,18.5,-72.3,0.92,4.0,0.6,,,,,
1770.0,1.0,1.0,3.0,1.0,7.0,INDONESIA,,60.0,SW. SUMATRA,-5.0,102.0,0.92,1.0,0.6,,,,,
1771.0,4.0,24.0,4.0,1.0,7.4,JAPAN,,85.0,RYUKYU ISLANDS,24.0,124.3,85.4,34.0,6.4,13486.0,4.0,,4.0,4.0
1772.0,11.0,24.0,3.0,1.0,7.2,GREECE,,50.0,AEGEAN SEA,38.8,26.7,0.92,0.0,0.6,,,,,
1775.0,2.0,11.0,4.0,1.0,7.2,CUBA,,74.0,SANTIAGO DE CUBA,19.9,-76.0,0.92,2.0,0.6,,,,3.0,
1775.0,4.0,18.0,3.0,1.0,7.2,INDONESIA,,83.0,AMBON ISLAND,-3.7,128.2,0.92,1.0,0.6,,,,,
1778.0,6.0,16.0,3.0,1.0,7.2,GREECE,,50.0,AEGEAN SEA,,,0.92,0.0,0.6,,,,,
1780.0,6.0,29.0,4.0,1.0,7.5,RUSSIA,,86.0,S. KURIL ISLANDS,45.3,151.2,12.0,6.0,3.6,12.0,1.0,,1.0,1.0
1780.0,9.0,9.0,4.0,6.0,7.2,JAPAN,,85.0,SW. KYUSHU ISLAND,31.6,130.7,2.0,1.0,0.0,,,,,
1780.0,9.0,21.0,3.0,1.0,7.2,MONTENEGRO,,50.0,BAY OF KOTOR,42.4,18.8,1.7,1.0,0.6,,,,,
1780.0,10.0,31.0,4.0,6.0,7.2,JAPAN,,85.0,SW. KYUSHU ISLAND,31.6,130.7,0.92,1.0,0.0,,,,,
1781.0,4.0,11.0,4.0,6.0,7.2,JAPAN,,85.0,SW. KYUSHU ISLAND,31.58,130.67,0.92,1.0,1.0,15.0,1.0,,1.0,
1781.0,4.0,1.0,3.0,0.0,7.2,TAIWAN,,84.0,KAOHSIUNG,24.0,121.0,30.0,1.0,0.6,1.0,1.0,,2.0,1.0
1782.0,8.0,22.0,4.0,3.0,7.3,JAPAN,,85.0,"ODAWARA, SAGAMI BAY",35.1,139.7,0.92,3.0,1.0,,3.0,,,
1783.0,2.0,5.0,4.0,1.0,6.9,ITALY,,50.0,TYRRHENIAN CALABRIA,38.3,15.967,0.92,11.0,0.6,,,,1.0,1.0
1783.0,2.0,6.0,4.0,3.0,5.9,ITALY,,50.0,MESSINA STRAITS,38.217,15.633,16.0,10.0,0.6,1500.0,4.0,,2.0,2.0
1783.0,3.0,1.0,3.0,1.0,5.9,ITALY,,50.0,TYRRHENIAN CALABRIA,38.767,16.3,0.92,1.0,0.6,,,,,
1783.0,3.0,24.0,3.0,8.0,7.2,ITALY,,50.0,MESSINA STRAITS,38.25,15.717,0.92,1.0,0.6,1.0,1.0,,,
1783.0,3.0,28.0,3.0,1.0,6.9,ITALY,,50.0,TYRRHENIAN CALABRIA,38.783,16.467,0.92,1.0,0.6,,,,,
1784.0,1.0,7.0,4.0,1.0,4.1,ITALY,,50.0,IONIAN CALABRIA,38.317,16.4,0.92,1.0,0.6,,,,1.0,3.0
1787.0,3.0,28.0,4.0,1.0,8.3,MEXICO,,88.0,SAN MARCOS,16.5,-98.5,4.0,6.0,2.0,11.0,1.0,,3.0,3.0
1788.0,7.0,21.0,4.0,1.0,8.0,USA,AK,87.0,"ALASKA PENINSULA, AK",57.0,-153.0,30.0,4.0,3.0,,3.0,,1.0,1.0
1788.0,8.0,6.0,4.0,1.0,8.0,USA,AK,87.0,"SHUMAGIN ISLANDS, AK",55.0,-161.0,88.0,3.0,3.3,,3.0,,,
1790.0,10.0,9.0,3.0,1.0,7.2,ALGERIA,,50.0,ORAN,35.7,-0.6,0.92,3.0,0.6,,,,,
1791.0,9.0,13.0,3.0,1.0,6.5,JAPAN,,85.0,OASAKA BAY,34.5,135.4,0.92,1.0,1.0,,2.0,,1.0,
1792.0,5.0,21.0,4.0,5.0,6.4,JAPAN,,85.0,"SHIMABARA BAY, KYUSHU ISLAND",32.75,130.3,55.0,43.0,3.5,15000.0,4.0,,4.0,4.0
1792.0,6.0,13.0,4.0,1.0,6.9,JAPAN,,85.0,W. HOKKAIDO ISLAND,43.5,140.6,0.92,6.0,1.0,,2.0,,1.0,
1793.0,2.0,8.0,4.0,1.0,6.9,JAPAN,,85.0,W. OFF AOMORI,40.85,139.95,1.8,5.0,1.0,12.0,1.0,,1.0,1.0
1793.0,2.0,17.0,4.0,1.0,8.3,JAPAN,,85.0,SANRIKU,38.5,144.0,4.5,8.0,2.2,720.0,3.0,,3.0,2.0
1794.0,6.0,11.0,3.0,3.0,5.5,GREECE,,50.0,CORINTH GULF,38.3,22.3,0.92,0.0,0.6,,,,,
1795.0,1.0,1.0,3.0,1.0,7.2,TRINIDAD AND TOBAGO,,74.0,PORT-OF-SPAIN,10.7,-61.7,0.92,1.0,0.6,,,,,
1797.0,2.0,10.0,4.0,1.0,8.0,INDONESIA,,60.0,SW. SUMATRA,0.001,99.0,0.92,2.0,0.6,300.0,3.0,,2.0,3.0
1798.0,2.0,22.0,3.0,1.0,7.2,COSTA RICA,,74.0,MATINA,10.2,-82.9,0.92,1.0,0.6,,,,,
1799.0,6.0,29.0,4.0,1.0,6.4,JAPAN,,85.0,SW. HONSHU ISLAND,36.6,136.6,0.92,2.0,1.0,,3.0,,2.0,
1802.0,8.0,15.0,3.0,1.0,7.2,VENEZUELA,,74.0,CUMANA,10.3,-64.5,0.92,1.0,0.6,,,,,
1802.0,11.0,7.0,3.0,1.0,7.2,ALGERIA,,50.0,HARBOUR OF ALGIERS,36.5,2.9,0.92,1.0,0.6,,,,,
1802.0,12.0,9.0,4.0,1.0,6.6,JAPAN,,85.0,NW. HONSHU ISLAND,37.7,138.3,0.92,1.0,0.0,,,,,
1804.0,1.0,13.0,4.0,1.0,6.7,SPAIN,,50.0,ALBORAN SEA,36.083,-3.583,0.92,2.0,0.6,,,,,
1804.0,7.0,10.0,4.0,1.0,7.3,JAPAN,,85.0,NW. HONSHU ISLAND,39.05,139.95,1.0,2.0,0.5,,3.0,,2.0,
1805.0,5.0,8.0,3.0,0.0,7.2,AUSTRALIA,,81.0,NORFOLK ISLAND,-29.06,167.95,5.0,1.0,0.6,,,,1.0,1.0
1805.0,7.0,26.0,4.0,1.0,6.6,ITALY,,50.0,CAMPANIA,41.5,14.467,0.92,1.0,0.6,,,,,
1806.0,12.0,1.0,3.0,1.0,7.5,PERU,,89.0,CENTRAL PERU,-12.1,-77.1,1.0,1.0,0.6,,,,1.0,
1808.0,8.0,8.0,4.0,1.0,6.5,JAPAN,,85.0,"E. AWA, TOKUSHIMA PREFECTURE",33.9,134.8,1.5,1.0,0.5,,,,,
1810.0,8.0,27.0,4.0,3.0,7.4,MEXICO,,88.0,MEXICO,26.0,-111.35,0.92,9.0,0.6,,,,1.0,
1810.0,9.0,25.0,4.0,1.0,6.6,JAPAN,,85.0,NW. HONSHU ISLAND,39.9,139.9,1.0,1.0,1.0,,,,,
1810.0,1.0,1.0,4.0,8.0,7.2,NORWAY,,73.0,NORTHERN NORWAY,69.433,20.15,0.92,0.0,0.6,14.0,1.0,,2.0,1.0
1812.0,12.0,21.0,4.0,3.0,7.5,USA,CA,88.0,S. CALIFORNIA,34.2,-119.9,3.4,5.0,1.8,,,,1.0,
1815.0,4.0,10.0,4.0,6.0,7.2,INDONESIA,,60.0,TAMBORA,-8.2,118.0,4.0,6.0,2.0,,3.0,,1.0,
